       98 15     51-163 -51  53  74
       98 27     81-141-169-109-120
       98 33     41-190-217-165-141
       98 33     51-320-229 -27 -47
       98 39     41-179-179-110 -96
       98 39     51-246-279-186-170
       98 57     31-246-128  25  57
       98 63     41 -24 -33 -26 -31
       98 63     51-304-251-142 -83
       98 69     71-106 -49  25  30
       98 75     51  49-111-219-228
       98 75     61-154 -88  -7  11
       98 81     31-272-258-153-122
       98 87     81-225 -94  44  78
       98105     51-304-107  74 103
       98141     41-287-215 -71 -30
       98159     21-271-177 -21   7
       98159     31-223-123  61  10
       99 22     51-165 -55  51  72
       99 22     61 -86-306-364-359
       99 28     41-377-220  17  59
       99 34     41-311-207 -40   7
       99 40     61-459-327-127 -50
       99 40     71-245-109  24  65
       99 52     51-334-316-204-162
       99 52     71-528-365 -57  22
       99 76     51-188-285-252-246
       99 82     41-262-182 -34  -9
       99 82     51-191 -98  -7  27
       99100     51-352-338-238-174
       99106     71-294-228 -76 -42
       99106     81 -53 -45 -30 -21
       99136     61-228-202 -95 -76
       99160     61  -9 -70 -98 -96
      100  6     31-438-445-299-234
      100 20     41-253-135  18  45
      100 27     51-453-347-115 -46
      100 27     61-322-382-268-279
      100 48     31-402-271 -21   9
      100 69     61-380-321-145 -85
      100 76     61-318-230 -68 -20
      100 83     41-366-319-182-119
      100 90     31-297-274-137-107
      100 97     51 -93-299-327-332
      100118     31-227-136   9  -1
      100174     51-207-205 -88-113
      100188     41 -95-183-189-189
      100188     51-212-253-199-175
      101  2     41-438-307 -57   7
      101  9     51-254-187 -61 -24
      101  9     61  92-121-236-237
      101 16     61-234-200 -97 -65
      101 23     31-280-244-107 -84
      101 23     41-182-300-285-267
      101 30     31-263-195  55 -74
      101 37     51-235-133   3  36
      101 37     61-133-286-288-292
      101 44     41  11 -69-115-118
      101 58     31-485-362-130 -40
      101 65     31   2-109-153-162
      101 72     51-392-195  73 115
      101 72     61-155 -97 -14  -8
      101 79    101-299-166 -25  32
      101 93     31-238-113  23  58
      101100     41-222-210-108 -97
      101100     51-184-148 -45 -54
      101107     31-464-370-135-132
      101114     919999999999999999
      101121     61-556-407-121 -27
      101128     51-388-480-444-404
      101135     71-380-230 -58  16
      101142     51-334-217 -33  16
      101149     61-455-134 146 229
      101156     51-243-267-197-164
      101163     31-320-186 -17  35
      101170     81-479-288  -2  79
      101170     91-167   3 113 135
      101177     519998999899989998
      102  1     51-106 -75 -22 -15
      102  1     61-206-110 -19  25
      102  5     61-265-277-193-168
      102  7     41-145-168-136-116
      102 13     51-331-305-170-116
      102 15     51-262-277-170-147
      102 17     71   5-112-153-162
      102 19     41-304-337-217-194
      102 21     71-374-281-133 -58
      102 23     51-351-278-111 -64
      102 27     71-228-267-213-186
      102 29     61-256 -51 139 178
      102 29     71-199-260-206-199
      102 33     41-255-255-161-127
      102 33     61-283-252-162-111
      102 43     51-226-190 -97 -62
      102 47     81-330-184  -5  50
      102 51     41-201-326-260-285
      103  8     31  34  73  79  75
      103 16     31-456-254  60  91
      103 16     41-302 -61 153 191
      103 20     41-171-177-132-106
      103 32     21-156  46 264 188
      103 36     51-399-243   9  52
      103 48     51-252-188 -68 -36
      103 52     51-579-374 -42  58
      103 56     31-147-147 -95 -81
      103 60     41-114   4  93 107
      103 60     51-173-166 -94 -81
      103 72     61-261-146  10  38
      103 76     31-249-147 -17  20
      103 84     51  41 -37 -94 -99
      103 88     81-233-211-121 -93
      103 96     41-173-154 -75 -64
      103 96     51 -19-152-188-192
      104  3     51-476-363 -84 -40
      104  9     81-449-412-241-172
      104 15     41-267-204 -64 -39
      104 33     31-231 -51 112 140
      104 39     51-435-377-185-120
      104 51     51-294-191 -45 -20
      104 57     31-275-235-116 -82
      104 63     51-303-252 -94 -66
      104 75     41-314-360-278-240
      104 81     81-190-109  -4  16
      104 87     31-576-427-120 -33
      104 93     61-230-270-193-173
      104111     71 -95-269-313-309
      104123     41-451-476-383-316
      104129     31-208-239-177-155
      104141     419998999899989998
      105  2     61-446-426-232-185
      105  2     71-334-312-190-134
      105 12     41 -70 -39  11   4
      105 17     619998999899989998
      105 22     51-145-225-206-199
      105 27     81-549-346  24  71
      105 37     41-181-142 -70 -41
      105 47     41-481-350 -91 -13
      105 57     51-209-155 -47 -29
      105 62     61-134-134 -84 -74
      105 62     71-215-211-146-108
      105 72     519998999899989998
      105 77     31-370-287 -96 -44
      105 77     41-233-199-118 -76
      105 87     41-509-396  90-143
      105112     61-222-237-162-136
      105132     31-341-208   7  30
      105132     41-232-157 -63 -19
      106  4     51-359-334-200-143
      106 11     41-150-172-139-118
      106 25     51-300-282-144-115
      106 25     61-142-294-286-311
      106 32     51-201-202-114-109
      106 39     61 -40 -52 -42 -44
      106 39     71-597-511-226-216
      106 39     819998999899989998
      106 53     61-158-234-173-198
      106 60     41-355-266 -63 -29
      106 67     51-251-212 -85 -68
      106 67     61-321-300-203-143
      106 81     51-366-320-131 -95
      106 88     51-455-360-179-112
      106116     71-297-196 -24   6
      106116     81 -43 -92 -82 -92
      106116     91-258 -38 114 166
      106116    101 -77-179-163-190
      106123     71-182-119 -30  -4
      106123     81-213-108  -7  33
      106144     81-333-129 119 144
      106151     71-113-225-225-221
      106165     81-273-217 -96 -59
      106179     41-377-240  -4  26
      106209     31-208-168 -32 -88
      107  2     61-140 -33  82  89
      107 20     61-363-304-133 -76
      107 20     719998999899989998
      107 26     61 190  79  -8 -35
      107 44     61-291 -71  99 143
      107 50     51-373-212  19  72
      107 56     61-144-159-114-102
      107 62     81-442-369-165 -94
      107 62     91-454-216  23 105
      107 68     51-237-115  51  36
      107 92     61-252-218-119 -83
      107 98     31-274-187 -47  -5
      107 98     41 -73 -47   5  -6
      107110     61-327-224 -36  -2
      107116     51-207-375-411-392
      107116     61-293-277-170-120
      107134     41-286-251-108 -89
      107134     51 -90-102 -58 -66
      108 19     31-146-249-239-235
      108 46     61-145 -33  83  70
      108 55     61-280-199 -59 -16
      108 73     51-183 -61  62  81
      108 73     619999999999999999
      108 91     91-196 -57  72 103
      108 91    101-196-112  26   6
      108109     51-116-132 -96 -88
      108109     61-131-234-234-232
      108118     31-168-167 -99 -86
      108163     61-167-139 -53 -50
      108172     51 -59-242-308-318
      108181     41 -28 -38 -32 -35
      108217     41-382-274 -83 -44
      108226     51-191-124 -16  -1
      108235     31-248-222-116 -84
      108235     41-529-151 472 244
      109  2     61-404-334-117 -79
      109  2     71-451-413-277-207
      109  7     31-477-324 -18  25
      109 12     31-395-254 -24  34
      109 12     41-204 -45  67 103
      109 22     41-286-196 -57 -13
      109 27     61-352-316-133-102
      109 32     71-179-154 -71 -56
      109 32     81-304-152   7  62
      109 32    101-292-186 -14  15
      109 37     41-471-410-215-139
      109 42     51 181  55 -85 -79
      109 42     61 -23 -54 -68 -64
      109 52     61-236 -93  79  98
      109 62     41-216-247-187-158
      109 62     51-502-374-165 -68
      109 67     21-417-372-161-120
      109 67     31-370-445-398-354
      109 77     21-379-364-222-163
      109 82     41-250-188 -54 -30
      109 87     81-102 -72 -35 -18
      109 97     41-422-365-151-112
      109 97     51-402-328-150 -85
      109102     31-474-343 -95 -15
      109107     41   0 -96-152-150
      109117     51-423-288 -34  18
      109132     51-250-280-168-177
      110  4     319996999699969996
      110  4     419999999999999999
      110 11     41-327-127  94 131
      110 18     41-204-202-115-104
      110 25     51-210-166 -64 -57
      110 32     41-236-291-238-205
      110 32     51-361-213 -35  33
      110 39     519999999999999999
      110 46     41 -31-229-315-327
      110 46     61 158 -67-196-231
      110 53     91 -15  12  28  29
      110 60     41-159-200-156-146
      110 60     619999999999999999
      110 60     71-184 -61  39  76
      110 67     41-224-245-159-147
      110 67     51-147  -4  87 116
      110 81     51-149-188-147-139
      110 95     61-156-312-348-331
      110102     31-360-302-176-109
      110123     21 -47-151-190-189
      110137    101-146 -43  40  68
      110137    111-345-340-211-175
      110144     51 -91-176-163-170
      110151     419999999999999999
      110179     71-364-176  12  90
      110186     61-290-243-127 -76
      110203     31-148 -87  -9   7
      111  9     61-217-115   7  41
      111 17     71-258-196 -73 -34
      111 25     51-272-291-227-180
      111 33     91-298-237 -77 -50
      111 41     51 -78-177-192-190
      111 49     31-236-124  37  38
      111 49     419999999999999999
      111 73     61-388-267 -50   8
      111 73     71-288-211  45 -80
      111 89     31-361-352-240-181
      111 97     81  22 -78-131-135
      111113     61-319-285-128 -96
      111129     61 -79 -77 -51 -45
      111137     31-179-116 -12  -3
      111145     81-353-262 -57 -34
      111145     91  79 -21 -81 -89
      111153     41-134-204-195-175
      111161     61-197 -24 137 159
      111161     71 -82 -60  -9 -19
      112  1     41-226-121  31  44
      112  1     51-335-320-170-132
      112 31     51-142 -94 -12  -7
      112 37     51-266-261-143-126
      112 43     41-358-235 -31  22
      112 61     41  76 -75-194-198
      112 85     31-374-267 -77 -20
      112 91     61-351-326-151-120
      112 91     71 -55-144-150-154
      112 97     81-450-352-174 -98
      112 97    101-350-126 123 157
      112103     61  86 -11-106 -98
      112133     71-158 -98  -7   2
      112145     21 -35  -5  21  20
      112157     91-153 -51  24  55
      113  2     41-393-287 -99 -31
      113  2     61-155-107 -18  -9
      113 12     51-294-167  27  34
      113 12     61 -27 -69 -81 -77
      113 17     31-254 -72 101 141
      113 22     31 151  85   0 -17
      113 22     41  89  -2 -77 -92
      113 22     51-295-259-161-105
      113 32     31 -90   7  96  99
      113 32     41-141-102 -48 -24
      113 32     61-242 -47 141 172
      113 37     31-245-143 -36  15
      113 42     41-102-147-127-127
      113 42     519998999899989998
      113 47     91-171-207-175-149
      113 57     31-336-201   8  41
      113 62     51 -54-121-133-135
      113 67     31-296-167  22  53
      113102     31-215-144 -21   0
      113102     41-464-255  25 101
      113112     31-233 -37 129 158
      113122     41-182-106   3  15
      113127     51-430-240  28  93
      113132     51-186 -77  50  59
      114  5     41-356-291-121 -71
      114 10     41-492-316 -10  58
      114 15     31-200-194-134 -98
      114 40     31-119-118 -67 -67
      114 40     41-183-269-241-223
      114 45     31-325-378-266-241
      114 50     41-264-212 -83 -50
      114 55     81 -61-135-143-142
      114 65     31-318-238 -60 -35
      114 65     41-219-162 -51 -31
      114 65     51  26-207-314-301
      114 80     61-387-288 -66 -23
      114 95     41-501-428-208-129
      114 95     51-317-256  59-108
      114100     71-427-172  68 160
      114110     31-325-192 -13  36
      114110     41-289-243-103 -73
      114120     31-320-141  76 105
      114125     61-187-156 -64 -52
      115  1     31 -96-139-125-124
      115  1     41-233-155 -27  -4
      115  6     41-262-168  23 -16
      115 11     51-321-209 -31  18
      115 16     31-278-193 -34  -7
      115 21     41-106 -46  31  35
      115 21     51  15 -66-102-108
      115 31     51 -74 -83 -58 -59
      115 31     61-265-179 -44  -3
      115 41     31-324-215 -23   7
      115 41     41-305-302-199-147
      115 46     61  69 -33-109-118
      115 46     719999999999999999
      115 51     51 -36-218-290-302
      115 56     71-220-117  14  39
      115 61     31   4 -81-127-133
      115 61     41-265-182 -45 -12
      115 66     71-370-177  61 107
      115 71     31-329-267-101 -61
      115 81     61-362-357-198-159
      115 86     41 -91-121-106-100
      115 91     41-442-333-137 -52
      115 96     31-109-153-136-129
      115101     31-194-171 -80 -67
      115121     41 -83-164-171-172
      115131     31-175-233-147-177
      116 30     319999999999999999
      116 43     51-302-257-100 -80
      116 43     61-295-255-133-108
      116 56     51-221-247-169-149
      116108     41-404-358-221-160
      116160     61-209-175 -73 -54
      116160     81-120-229-240-223
      116225     71-164 -59  41  66
      116238     419999999999999999
      116238     61-218-104  78  17
      116251     31-267-200  42 -60
      116277     319999999999999999
      116303     51-228-132  -3  21
      116329     51-207-194 -99 -90
      116329     61-192-261-226-204
      116342     41-278-275-169-132
      116342     51-349-324-217-156
      117  7     619998999899989998
      117 47     61-210-216-131-126
      117 87     51-309 -10 244 269
      117 95     21-121 -59   9  22
      117103     51-108-113 -80 -67
      117111     719999999999999999
      117159     41-303-178  13  31
      117159     51-250-211-111 -71
      117167     41-232 -93  52  85
      117191     71-372-212  31  57
      117199     31   0 -64 -99-101
      118 10     31-229   1 144 191
      118 34     31-304-238-107 -69
      118 42     31 -16 -63 -84 -84
      118 42     41-282-146  29  59
      118 50     71 120 -21-149-145
      118 58     81-380-264 -35   1
      118 58     91-295-213 -96 -46
      118 74     31 -58 -98 -95 -95
      118 98     41-294-104 148  94
      118122     81-286-164  16  35
      118122     91-226-230 -24-159
      118130     51-325-225 -46  -1
      118138     71-346-105 128 186
      118146     71-187-108   3   1
      118154     819998999899989998
      118154     91 128 170  97 144
      118162     31-263   3 218 245
      118162     41-516-300 -11  33
      118170     41-184-188-117-103
      118170     51-393-310 -91 -47
      118178     419999999999999999
      118178     51  54 -91-171-165
      118210     519998999899989998
      119  2     31 -63  29  86  87
      119 16     51-396-236   2  14
      119 30     519998999899989998
      119 37     41-261-206 -71 -47
      119 44     41-363-332-183-134
      119 44     51-435-123 343 196
      119 51     41-488 -92 418 282
      119 58     31-170-125 -45 -22
      119 65     31-437-294 -95  -4
      119 72     419996999699969996
      119 79     71-449-202  40 134
      119 93     41 236  98   0 -43
      119100     51-171 -72   9  39
      119100     819999999999999999
      119107     619998999899989998
      119135     61-283-185 -36   7
      119149     51-146 -50  47  60
      119156     31-247-250-147-127
      120  6     61-283-149  26  65
      120  6     71-246-312-271-240
      120 15     31-150-103 -15 -18
      120 15     41-196-145 -51 -31
      120 24     31-177-154 -77 -59
      120 24     41-211 -76  69  64
      120 33     51-461-304 -78  15
      120 60     61 151  58 -58 -47
      120 60     71-368-135 114 172
      120 60     81 -23 -58 -51 -65
      120 96     31 -70-214-227-237
      120123     619999999999999999
      120132     71-247-211 -92 -68
      120132     81  21-115-168-173
      120141     51-125-187-166-163
      120141     61-444-471-334-277
      120159     51-545-267  88 191
      120168     51-326-284-136 -89
      120168     61-403-240 -36  37
      120195     31  35-108-196-177
      120204     61-225-142 -17   6
      120213     31-436-347 -98-103
      120231     41-396-140 142 185
      120240     31-493-336 -68  18
      121  4     31 -99-252-257-285
      121 22     61-443-341-166 -84
      121 28     719999999999999999
      121 40     71-272-249-121-121
      121 52     31-238 -75  96 112
      121 52     41-403-210  24  95
      121 52     51-185 -83  28  35
      121 76     61-387-158  74 147
      121 82     31-491-388-183 -88
      121 82     41-114-182-133-158
      121 88     31-267-234-115 -81
      121 88     41-208-209-138-109
      121 94     31-150 -31  65  91
      121106     41-182-191-141-114
      121112     31-259-153   5  24
      121118     619999999999999999
      121124     31 -54-162-182-181
      121130     619998999899989998
      121154     61 -80 -63 -35 -23
      121160     81-452-354-128 -59
      122 11     51-501-401-121 -72
      122 41     81-397-213  39  97
      122 41     91-230-205-121 -95
      122 51     31-347-323-185-128
      122 51     41-384-261 -96 -27
      122 71     51 -65 -70 -51 -45
      122 71     61-211-173 -83 -57
      122 91     51-224-196-104 -78
      122101     61-163 -40  86 101
      122101     71-155 -93 -30   0
      122121     61-280-124  64  86
      122171     71 -49 -94 -95 -98
      122181     41-232-205 -91 -80
      122191     71-346-189  29  77
      122231     71-369-198  -4  46
      122231    101-171 -34  99 107
      122241     31-158-131 -62 -45
      122241     41  29 -27 -50 -60
      122251     31-103-117 -84 -79
      122251     41-100 -64 -12 -10
      122261     51-562-430-109 -52
      123  4     51-135 -61  35  41
      123  4     61   7  -8 -14 -17
      123 11     41-239 -87  69 106
      123 11     51   8 -29 -46 -48
      123 18     61 -61 -61 -35 -35
      123 18     71 -29   3  41  24
      123 39     31 -32 -79 -92 -89
      123 67     71-170-102   3  15
      123 67     81-509-428-198-119
      123 74     41  61  40  11   7
      123 88     31-207-117  -4  20
      123 95     51-143-212-198-186
      123 95     61-273-179 -62 -11
      123102     51-249 -50  88 139
      123109     71-104 -69 -18  -8
      123130     61-161-187-138-125
      123144     41   1  -4 -11  -9
      123151     71-180-119  -9 -11
      123165     51-215-202-125 -92
      123165     61-282-247 -90-108
      123165     71-174-214-136-152
      123172     51-591-391 -48  56
      123172     61-301-247 -52 -88
      123186     61 317 168 -64  -3
      124  2     31-266-220  22 -90
      124  5     41-195-137 -24 -20
      124  5     51-214 -41 105 138
      124 11     31-330-274 -96 -66
      124 11     41-211-145 -44 -27
      124 14     41-241-155  -4  -2
      124 14     51-319-145  17  76
      124 17     31 -49 -74 -66 -68
      124 17     41-146 -70  -3  25
      124 23     51-400-263 -12  26
      124 23     61 -78-191-185-198
      124 32     41-190-133 -20 -20
      124 35     51-200-140 -23 -20
      124 35     61 -67 -94 -84 -78
      124 47     41-267-236-129 -89
      124 50     51-372-176  68 123
      124 50     61-202-190-126 -95
      124 53     81-157-130 -59 -42
      124 56     81 -69 -12  24  37
      124 59     51-124-101 -38 -32
      124 59     61-372-368-192-211
      124 62     619999999999999999
      124 65     41-277-198 -44 -15
      124 65     51-105-125 -99 -87
      124 68     61-203 -80  63  82
      124 68     71-166-152-103 -72
      124 71     81-268-192   2 -44
      125  1     51-333-180  21  71
      125  9     51-321-173  24  72
      125 25     61-200 -17 162 153
      125 25     71-190-105  -2  24
      125 41     61 -51-213-269-279
      125 57     41-359-267 -81 -30
      125 65     71-317-270-110 -78
      125 81     31  65-105-234-200
      125 89     31-219-310-249-253
      125 97     31-322-108 119 167
      125 97     41-361-284-129 -65
      125113     91-224-144  -8  -1
      125129     71-286-233-104 -62
      125137     61-153-183-133-128
      125145     61-231-121  35  48
      125145     71-252-196 -92 -49
      125153     51 -92 -88 -49 -45
      125153     61 -51 -39 -21 -12
      125161     41-192 -63  74  86
      125177     41-541-325  54  85
      125177     51-295-153 -17  40
      125185     91-128 115 286 294
      125201     71-181-162 -79 -64
      125201     81-170-240-212-203
      125209     61-336-237 -43 -11
      125209     71 -36-119-127-133
      126 17     51-237-163 -44  -8
      126 25     51-323-257 -81 -58
      126 33     31-301-114 103 137
      126 33     41-222-102   0  46
      126 33     51-397-181  35  99
      126 57     31-217-242-161-147
      126 73     71-119 -91 -36 -24
      126 73     81  93 125  50 109
      126 89     51-239-174 -57 -29
      126105     71-160 -71   8  37
      126121     31-175-118 -35  -8
      126129     71-154 -51  55  73
      126129     81 -64   3  94  54
      126153     31-317-240 -85 -37
      126161     31-103 118 227 237
      126177     41-235-221-114-100
      126177     51-273-192 -81 -36
      126185     71-264-219 -90 -61
      126185     81-215 -44  78 121
      126193     41-197-101  23  37
      126209     51 104 -27-115-129
      127  7     61-203-209-130-112
      127 19     31-309-170  20  63
      127 19     41-252-165 -59 -13
      127 25     31-186-178-104 -94
      127 31     51-203-162 -64 -43
      127 31     61 -45 -62 -41 -49
      127 37     81-426-307 -49 -13
      127 37     91-266-147   8  47
      127 43     71-325-109 126 152
      127 43     81  -7 -83-113-110
      127 61     31-159 -46  86  64
      127 67     41-255-123  41  63
      127 67     51-185 -75  14  49
      127 73     31-284-333-230-209
      127 85     41-288-214 -57 -28
      127 85     51-256-147 -12   9
      127109     61-331-270 -91 -67
      127109     71  75  -3 -50 -66
      127121     81-262-218-127 -83
      127133     71 -94 -84 -48 -40
      127133     81-127 -71  24   5
      127157     61-268-104  73 114
      127157     71-124 -26  70  64
      128 26     31-160-236-215-205
      128 34     61-300-165  25  51
      128 34     71-341-154  42  74
      128 42     41-278-262-157-117
      128 50     51-202 -94  27  49
      128 66     41-330-272 -98 -67
      128 66     51-253-283-215-175
      128 82     81-391-194   5  69
      128 90     31-328-241-112 -45
      128 98     41-323-293-192-132
      128114     21-226-205-112 -82
      128114     31-307-270-129 -91
      128130     81-377-263 -37  -7
      128130     91-539-467-223-142
      128130    101  53 -16 -50 -61
      128154     31-192-202-145-116
      128162     31-417-137 184 158
      128170     31-320-189   1  46
      128170     41-427-212  86  71
      128194     31-169-303-282-286
      128202     51-257-167 -40  -3
      129  9     419999999999999999
      129 23     619999999999999999
      129 23     71-190-155 -88 -57
      129 30     31-445-193 203 109
      129 37     41-562 -48 369 406
      129 44     419999999999999999
      129 65     81-225-177 -71 -60
      129 93     319999999999999999
      129 93     41-357-185 -10  66
      129100     41-252-204 -91 -53
      129107     519999999999999999
      129114     41-272-173  -2   3
      129114     51-415-234 -17  59
      129121     61-221-224-135-117
      129121     71-318-191   8   0
      129135     61-170-329-327-327
      129156     31-236-175 -40 -34
      129156     41-324-155   5  75
      129170     51-252-125  33  60
      129170     61-424-363-187-155
      129177     51-540-394 -74  -8
      129184     719998999899989998
      129184     81-412-404-141-305
      130  2     31-255-257-191-144
      130 16     41-176-197-151-126
      130 16     51  25 -11 -42 -35
      130 23     41-377-283 -90 -36
      130 30     61-272-151   4  45
      130 30     719998999899989998
      130 37     219998999899989998
      130 51     31-248-209 -90 -65
      130 58     51-519-462-308-217
      130 65     51-279-144  47  50
      130 65     61 -70-126-103-117
      130 79     31-454-319 -35  -4
      130 79     41-163-237-211-195
      130 86     31 -87 -95 -71 -64
      130 93     41  26 -79-162-150
      130107     51-220-154 -39 -16
      130114     31-136-115 -50 -41
      130114     41-463-276  22  24
      130128     51 -66-132-113-130
      130135     31-293-215 -48 -30
      130135     41-426-422-280-258
      130163     71-324-169  39  72
      130177     81-493-288 -11  86
      130177     91-467-212 246 102
      130184     51-342-247 -70 -18
      130184     61-435-375-132-148
      131  1     51-303 -49 132 199
      131  9     319999999999999999
      131  9     41-310-131  58  76
      131 17     41-322-199 -22  24
      131 17     519999999999999999
      131 25     81-266-176 -62  -9
      131 25    1119999999999999999
      131 33     41 -44-125-148-153
      131 33     51-192-303-281-272
      131 41     61  21 -49 -89-101
      131 41     71-428-383-213-146
      131 49     41-561-371 -56  49
      131 49     51-308-131 142  71
      131 57     31-280-210 -78 -41
      131 57     41 248-105-352-330
      131 89     61-423-137 101 185
      131 89     71-379-222   2  17
      131 97     31-277-212-109 -61
      131121     51-583-255 171 252
      131121     61-334-247 -58 -63
      131137     31-585-399-121  -5
      131153     51-318-185  -3  42
      131161     719999999999999999
      131161     81-160  82 247 233
      131169     51-315-148  23  82
      131185     61-292-189 -30  14
      131193     819999999999999999
      131201     61-397 -97 134 216
      131209     51-483-385-147 -73
      131209     61-118-227-211-218
      132  7     619999999999999999
      132 13     71-263-206 -93 -50
      132 37     31-371-190  50  92
      132 49     61-394-130 105 176
      132 61     41-552-311  61 131
      132 73     51-349-285-123 -75
      132 85     61 332   9-266-308
      132 91     61-247-119  39  61
      132 91     71-147-104  29 -29
      132 97     51-105 -90 -50 -40
      132103     51-183-163 -79 -64
      132121     41-206-193-109 -90
      132133     51-250-119  -3  51
      132133     71-303-274-162-109
      132145     619998999899989998
      132157     51-260-183 -41 -14
      133  7     51-266 -27 188 204
      133 23     51-374-170  81 134
      133 23     61-179-183 -73-107
      133 31     31-139-125 -80 -57
      133 39     51-327-126 100 134
      133 39     61 260  10-330-178
      133 47     51-293-125  56 100
      133 63     31 524 177 -77-128
      133 71     51-484-321 -29  39
      133 71     61-170-165 -67 -89
      133 95     41-266-213 -93 -56
      133103     31-140 -89  39 -12
      133111     31-167 -94  -1  22
      133111     41-285-199 -87 -34
      133127     41-283-284-185-151
      133135     51-282-212 -76 -36
      133143     41-134-121 -61 -55
      133151     319996999699969996
      133151     419996999699969996
      133167     31-221-184 -69 -63
      133167     41-268-216 -78 -55
      133167     51-450-433-311-248
      133175     61-122-163-142-127
      133175     71-230-255-187-164
      133191     41-134-130 -74 -66
      133191     51   7 -98-156-161
      133207     71-269-144  15  45
      133215     81-196-207-134-116
      133215     919999999999999999
      134  1     91-326-287-110-126
      134  8     41-268-264-159-126
      134  8     51-148-260-251-244
      134 29     61-107-185-192-186
      134 29     71-428-148 124 208
      134 36     31-291-288-186-149
      134 43     31  89 -32-132-134
      134 50     819998999899989998
      134 57     31-158-121 -50 -33
      134 78     41-178 -82  24  46
      134 85     31-184-181-116 -93
      134 85     41-122  14 174 114
      134 92     31-308-240 -74 -45
      134106     41-321-297-161-117
      134106     51-117-354-449-437
      134113     81-279-334-245-220
      134120     31  42-205-333-355
      134127     31-180 -18 125 138
      134127     41-117 -70  63  -9
      134155     61-394-282 -66  -7
      134155     71-217-221-103-127
      134162     61-100-102 -76 -61
      134176     61-315-145  46  95
      134183     51-313-176  20  52
      135  2     81-145-173-138-122
      135  2     91-315-280-142-118
      135 32     71-309-188   3  33
      135 32     81-454-209 109 156
      135 32     91-552-484-263-186
      135 37     41-306-285-138-118
      135 37     51-328-232 -64 -18
      135 52     41-190 -85  46  62
      135 52     51 -19  21  41  46
      135 67     51-120-153-130-118
      135 67     61-410-424-334-268
      135 77     61-327-250 -86 -36
      135 77     719998999899989998
      135 82     81-536-475-260-194
      135 82    111-402-344-202-137
      135 87     41-498-281  65 106
      135 87     51-499-210  82 187
      135 97     31-207-149 -63 -35
      135102     51-555-350 -31  66
      135107     31-206-129 -17  11
      135107     41 -88-348-414-412
      135112     31 -27-102-111-117
      135117     71-365-150 101 140
      135117     81-202-195 -98-103
      135127     61-257-244-151-111
      135132     71-292-187 -50   2
      135132     81-264-194  82 -73
      136 10     31-407-251   7  50
      136 10     419999999999999999
      136 17     51-318-278-141 -90
      136 17     61-427-401-277-213
      136 24     41-299-245 -90 -63
      136 31     31 -12-145-223-216
      136 31     41-195-133 -37 -15
      136 38     81-216-176 -72 -50
      136 45     31-319-296-198-138
      136 52     71-306-292-185-133
      136 59     41-406-249 -63  14
      136 73     41-386-164  63  97
      136 87     51-267-183 -29  -5
      136 87     61-501-445-259-226
      136101     31-330-156  67  93
      136101     41-297-241-135 -76
      136108     31-186-253-208-197
      136108     41 -22 -62 -64 -68
      136122     41-189-141 -39 -24
      136122     51-128-109 -71 -47
      136136     91-483-264  16 110
      136143     41   1 -89-145-144
      136143     51-461-279 -26  61
      136150     71-311 -88 120 163
      136171     61-521-338   9  49
      136171     71-199-117 -32   4
      136185     61-280-186 -15  -6
      136185     71-479-377-192-102
      137  9     51-342-229 -50   1
      137 45     31-311-214 -28 -13
      137 45     41-272-139  30  59
      137 51     51-164-106 -28  -3
      137 57     31-220-117  27  45
      137 57     41-176-209-157-140
      137 63     51-272-152  23  49
      137 63     61-310-136  30  88
      137 69     51-283-155 -24  36
      137 81     71-411-266  -6  33
      137 81     81-239-157 -62 -16
      137 99     31 -54-105-113-112
      137 99     41-471-403-191-116
      137111     61-390-338-177-110
      137123     61-353-339-200-147
      137141     61-244 -60 113 141
      137147     71-526-333 -33  66
      137153     31-102-128-101 -96
      137153     41-151-184-107-130
      137159     91-423-310 -85 -22
      138  6     81-247-193 -68 -42
      138 22     91-512-363 -80   3
      138 54     61-408-173 109 155
      138 54     719996999699969996
      138 62     31-383-162  63  97
      138 62     619999999999999999
      138 70     81-389-297 -96 -39
      138 86     41-521-196 155 240
      138110     61-163-175-119-104
      138118     31-336-199 -36  18
      138126     51-535-302  61 129
      138158     319996999699969996
      138166     41-430-421-229-189
      138174     51-305-305-196-148
      138174     61-588-305  39 161
      138182     71-261-150  19  38
      138190     51-346-281-112 -61
      138198     71-404-299 -88 -26
      138206     31-147-202-176-165
      138206     41-320-164 -10  59
      139  1     61-394-332-119 -79
      139 10     51-149 -23  72  95
      139 28     71-320-215 -44   4
      139 28     81-152-108 -17 -24
      139 37     31 -81-161-139-157
      139 64     61 -81 -88 -39 -58
      139 91     31-104 -80 -39 -23
      139109     31-218-212-126-104
      139127     31-298-235 -76 -51
      139127     41-338-220  88 -53
      139154     51-373-266 -63  -7
      139154     61-239 -89 154  62
      139163     41-381-304-115 -56
      139172     71-322-178  25  57
      139172     81 -42 -61 -41 -48
      139172     91-334-293-180-116
      139190     31-218-171 -72 -41
      139199     61-303-126  76 120
      139199     71-185 -74  25  56
      139208     41-334-221 -14   0
      139208     51-280-125  10  69
      139217     41-253-179 -53 -14
      139226     71-221 -99  40  64
      139226     81-322-418-329-341
      140  5     41-266-195 -52 -25
      140 19     31-375 -69 409 219
      140 40     71-192-165 -33 -72
      140 61     51  86 101  87  73
      140 68     519999999999999999
      140 82     419999999999999999
