        9136     61-182-160 -82 -65
        9152     61-346-265 -70 -36
        9152     71-309-504-446-471
        9168     51-368-288 -80 -52
        9192     41-121-130 -93 -82
        9200     41-206-149 -43 -23
        9208    101-153 -71  32  37
       10 11     419996999699969996
       10 11     51-326-218 -63  -6
       10 16     81-330-281-136 -92
       10 26     31-412-393-198-161
       10 31     51-256-186 -51 -18
       10 41     51 130 -34-137-159
       10 46     51  60  -2 -58 -50
       10 51     41-418-247  -7  60
       10 56     41-252-106  65  82
       10 56     51-127 -73 -23   1
       10 61     51-172-175-107 -96
       10 61     61-322-374-314-271
       10 66     31-144-129 -74 -58
       10 71     41-315-310-193-144
       10 71     51 167  58-135 -44
       10 76    121-193-106   7  32
       10 81     41  21 -63-119-119
       10 81     51 149 -11-129-159
       10 96     61-346-245 -49 -10
       10 96     71  24 -28 -55 -61
       10101     31-152-174-131-119
       10101     41 -94-262-303-296
       10106     41-191-236-184-165
       10111     71-250-214 -95 -70
       10111     81-360-254-102 -44
       10116     31-178-204-164-137
       10116     41  54-109-181-194
       10126     31 -72  57 118 134
       10131     319999999999999999
       11  5     51-284-182 -16  11
       11  5     61-390-378-255-212
       11 13     81-206-107  31  32
       11 13     91 -33 -93 -92 -99
       11 21     71-511-347 -30  33
       11 29     51-215-145 -28  -8
       11 37     61-198 -63  63  87
       11 45     41-269-203 -86 -41
       11 61     41-188-156 -59 -56
       11 69     81-148-157-106 -94
       11 85     51-171-199-150-133
       11 85     61 -66 -42 -15  -5
       11101     81-218-171 -76 -48
       11141     51-394-261 -45  15
       11149     51-186-146 -51 -40
       11149     61-337-283-131-101
       11157     31-270-209 -70 -40
       11157     41-277-213-105 -63
       11165     41-267-282-173-152
       11181     31 -47-103-104-106
       11189     81-236 -93  55  83
       11197     41 -41 -31 -12 -13
       11197     51-489-273   9 105
       12  9     61-253-169 -18  -9
       12 15     619999999999999999
       12 21     61 -42  35  90  90
       12 21     71-107 -85 -52 -32
       12 23     31-448-357-102 -59
       12 27     31-233 -92  38  82
       12 45     71-222-156 -31 -11
       12 45     81-197 -52  77 102
       12 45     91 -20  10  48  29
       12 87     41-210-258-208-185
       12 87     51-378-324-167-101
       12 93     51-150 -61  48  54
       12 93     61-442-272 -51  39
       12111     31-181-205-163-137
       12111     41-154 -79  24  13
       12117     31-284-194 -46  -2
       12129     41-461-315 -70  11
       12147     41-398-248  -3  46
       12153     81-205-156 -41 -39
       12159     81-243-133  12  39
       12188     31-206 -91   7  47
       13  1     41-282-121  43  90
       13  8     41-218-130  -4  17
       13  8     51-220-141 -35 -15
       13 15     81-292-114  52 102
       13 22     51-278-339-255-228
       13 29     51-134 -27  52  69
       13 64     41-314-271-133 -90
       13 78     31-234-183 -61 -45
       13 78     41-449-299 -70  15
       13 85     31  18 -43 -77 -86
       13 92     51-140-133 -70 -69
       13 99     31-258-134  20  58
       13 99     41-415-410-304-240
       13120     41-245-245-158-132
       13155     61-267-161 -15  25
       13155     71   4   0   1  -3
       13162     31-358-263 -56 -25
       13169     71-229 -84  63  98
       14  9     71-483-439-219-168
       14  9     81-394-263 -78   0
       14 36     31 -89 -74 -42 -29
       14 45     31-218-172 -78 -59
       14 54     41-485-411-161-114
       14 54     51-509-498-321-279
       14 63     71-200-210-134-118
       14 81     51-121-193-131-171
       14 99     51-248-234-120-104
       14 99     61 -82-171-183-182
       14126     51-128-178-159-146
       14144     71-253-108  55  84
       14153     31 -55  -8  40  40
       14153     41-133 -97 -31 -26
       14171     71-201-123  -3  16
       14171     81-301-296-197-163
       14180     71-348-208  16  37
       14180     81-181-132 -22 -35
       14189     319996999699969996
       14207     71-501-417-164 -95
       14234     319998999899989998
       14234     41-424-323-154 -78
       14243     31-404-349-136 -97
       14243     41-433-268 -45  33
       15  6     71-347-203   0  51
       15 13     21-323-206 -11  16
       15 13     31-324-300-173-119
       15 34     91 -36-128-171-169
       15 34    101-219-244-165-146
       15 34    111  22 -39 -64 -73
       15 41     919999999999999999
       15 41    111-316-243 -89 -45
       15 55     61-450-249  40 106
       15 62     51-214-305-274-245
       15 76     61-292-277-144-116
       15 90     91-349-234 -34  13
       15 90    101-343-161  56 108
       15 90    111-448-455-356-287
       15 90    121-146-191-148-146
       15118     41-125-211-212-197
       15125     41-103 -37  24  38
       15139     41-279-204 -66 -23
       15139     51  46  -7 -58 -46
       15153     61-136  -1  82 110
       15174     41-346-189  36  64
       15174     51-330-174 -15  56
       15181     51-460-363-130 -59
       15181     61 -32-180-215-222
       15193     31-218-163 -64 -36
       16 15     81-185-180-109 -92
       16 15     91-281-270-185-136
       16 21     61-143-119 -64 -44
       16 33     71-323-271-117 -73
       16 39     51-391-236  18  42
       16 39     619998999899989998
       16 45     41-256-127  37  60
       16 51     41-300-285-169-121
       16 69     31-397-297-136 -56
       16 75     71 -41 -59 -51 -54
       16 81     41-245-255-152-135
       16 99     31-123 -40  41  57
       16111     51-127-190-170-165
       16111     61-406-309-149 -71
       16129     61-156-214-173-169
       16141     41 -65 -85 -70 -67
       16141     51 -78-150-119-147
       16153     31-100 -21  47  62
       16159     61-201-195-106 -96
       16159     71-294-230-121 -70
       17  3     61-235-192 -82 -52
       17 10     51-309-243 -76 -47
       17 10     61-148-109  11 -33
       17 17     61-296-206 -39  -9
       17 17     71  58 250 263 336
       17 24     61-240-346-301-284
       17 31     619999999999999999
       17 45     31-272-208 -64 -38
       17 52     51-237-166 -31 -11
       17 52     61-302-263-136 -97
       17 66     41-252-178 -42 -16
       17 73     91  97  43 -23 -24
       17 73    101 227 118  20 -10
       17 94    101-362-193  31  85
       17 94    111-225 -86  49  84
       17101     31 -62 -61 -41 -38
       17101     41  22 -69-110-119
       17115     71-135-153-121-105
       17122     81-463-275 -10  70
       17150     51-409-263 -16  37
       17171     31-218-186 -75 -70
       17171     41-162  47 167 189
       17185     71-307-254-125 -80
       17185     81-279-409-323-346
       18  2     41-374-296-110 -56
       18 10     31-143  -6  79 112
       18 50     61-415-252  -5  58
       18 50     71  28 -58 -97-101
       18 66     31-520-363-108  -4
       18 74     41-246-148  -2  18
       18 74     51-285-173 -39  -1
       18122     519998999899989998
       18130     71-138-142 -92 -81
       18130     81-369-155  55 129
       18138     51-172-305-305-284
       18146     31-189-242-188-180
       18146     41-434-344-179 -98
       18154     31-278-116  87 105
       18154     41 161-107-267-269
       18186     31-126-199-162-172
       18194     71-457-203 104 178
       18210     61-429-372-167-108
       19  1     41-318-166  34  79
       19  1     51-232 -94 119  57
       19 15     31-318-318-178-153
       19 15     41-330-225 -60  -7
       19 22     61-188 -72  49  76
       19 29     51-166-152 -83 -69
       19 43     61-245-128  18  54
       19 50     81-329-131  92 129
       19 64     31-415-365-203-134
       19 78     51-513-359 -52  17
       19 92     41-220-165 -72 -37
       19106     91 -73-158-183-176
       19113     91-145-209-181-177
       19127     41 -99 -24  45  54
       19127     51  41-104-165-173
       19134     71-243-179 -42 -34
       19134     91-232-259-172-160
       19141     61-233-179 -61 -38
       19141     71-165 -25  71  98
       19148     41-124-196-181-178
       19155     71   2-214-340-337
       19162     71-168-185-131-115
       19162     81-161-236-215-197
       20  1     51-107 -92 -38 -40
       20  1     61 -35 -17  14   5
       20 15     71-293-164  -4  40
       20 36     619999999999999999
       20 43     41-463-455-292-285
       20 50     41-420-350-168 -95
       20 57     41-545-378 -67  20
       20 78     71-117-177-159-157
       20 85     31-253-167 -20  -3
       20 92     41-465-343-119 -34
       20 92     51-130-110  23 -59
       20113     31-387-264 -28  11
       20120     31-289-218 -69 -31
       20120     41-305-234-101 -48
       20127     61-378-318-159 -99
       20141     91-233 -40  93 140
       20155     81-308-243 -90 -48
       20155     91-477-255  -7  94
       20162     61-329-244 -57 -33
       20176     61-426-368-225-147
       20183     51-576-492-307-226
       21  8     61-462-240  66 125
       21  8     71  40 -70-139-127
       21 15     31-229 -81  76  97
       21 29     31-180-105   4  20
       21 29     41-233 -55  89 126
       21 36     31-159-122 -51 -35
       21 43     31-328-345-258-216
       21 64     61-455-287 -74   9
       21 71     51 230  60 -91 -88
       21 78     31-235-118  19  56
       21 78     41 228 -78-310-272
       21 85     61-247-206 -78 -66
       21 85     71-278-345-275-262
       21 99     41-388-271 -98 -21
       21106     31-121 -45  29  46
       21113     71-238-103  51  76
       21113     81-139-125 -58 -59
       21134     51-224-229-146-121
       21134     61  49  20 -19 -11
       21148     71-461-353 -92 -35
       21148     81 177 -30-242-177
       21155     31-363-255 -59  -3
       21169     51  28 -41 -95 -82
       21176     51-230-135 -10  25
       21183     719998999899989998
       21183     81-159-274-251-253
       21213     41-217-299-263-230
       22  4     61  35  78  81  76
       22 25     41 249 -90-342-385
       22 25     51  33 -43-139 -87
       22 32     61-258-247-150-111
       22 60     51  20-130-186-195
       22 67     61-237-205-113 -80
       22 74     71-304-312-210-160
       22 74     81-330-296-174-120
       22 81     51-362-222 -39  27
       22 88     61-248-272-156-168
       22 95     61-300-245-109 -62
       22 95     71-357-287-131 -83
       22102     61-159-168-122-102
       22109     51-179-201-147-128
       22109     61-252-244-152-114
       22109     71-265-303-134-197
       22116     31-122 -76  -4  -2
       22116     41   3  96 131 125
       22123     41-219-188 -98 -69
       22158     51-383-259 -40  15
       22165     61-222-249-168-152
       22179     41-217 -86  48  82
       22179     51  26   2 -43 -19
       23 11     51-195-176 -84 -75
       23 11     61-249-210-115 -82
       23 32     71-280-196 -39 -11
       23 39     31 -17-188-249-253
       23 53     41-218-167 -53 -36
       23 67     41 -65-111 -93-101
       23 81     71-259-404-417-377
       23 88     51-196-158 -60 -47
       23 88     61-112 -75  13 -14
       23 88     91-247-178 -80 -34
       23109     41-130-151-111-104
       23123     51-281-239-107 -72
       23137     61-161 -51  49  69
       23144     41-379-269 -65  -9
       23151     31-327-316-178-137
       23165     41-341-290-140 -93
       23172     41-321-323-184-153
       23172     51-291-246-135 -88
