        8157    -.55389    3.00
        8178    -.44522    4.00
        8185    -.62809    3.00
        9  8    -.57352    3.00
        9 16    -.78510    1.00
        9 24    -.57170    3.00
        9 32    -.81199    1.00
        9 40    -.52019    3.00
        9 48    -.76177    1.00
        9 56    -.85659    1.00
        9 64    -.59305    3.00
        9 70    -.54630    3.00
        9 80    -.76166    1.00
        9 88    -.79854    1.00
        9 96    -.35886    4.00
        9104    -.77720    1.00
        9112    -.41685    4.00
        9120    -.65721    2.00
        9128    -.64377    3.00
        9136    -.71371    2.00
        9144    -.64097    3.00
        9152    -.64256    3.00
        9160    -.88151    1.00
        9168    -.73835    2.00
        9176    -.61465    3.00
        9184    -.71090    2.00
        9192    -.81999    1.00
        9200    -.77865    1.00
        9208    -.64022    3.00
        9216    -.78622    1.00
       10  1    -.82823    1.00
       10  6    -.82353    1.00
       10 11    -.56198    3.00
       10 16    -.76492    1.00
       10 21    -.45867    4.00
       10 26    -.64897    3.00
       10 31    -.75005    1.00
       10 36    -.65072    2.00
       10 41    -.69803    2.00
       10 46    -.74485    2.00
       10 51    -.64097    3.00
       10 56    -.67586    2.00
       10 61    -.75829    1.00
       10 66    -.64897    3.00
       10 71    -.68930    2.00
       10 76    -.84415    1.00
       10 81    -.79854    1.00
       10 86    -.65081    2.00
       10 91    -.62506    3.00
       10 96    -.71090    2.00
       10101    -.64097    3.00
       10106    -.62071    3.00
       10111    -.91861    1.00
       10116    -.82502    1.00
       10121    -.54589    3.00
       10126    -.38189    4.00
       10131    -.65575    2.00
       11  5    -.71955    2.00
       11 13    -.68994    2.00
       11 21    -.68348    2.00
       11 29    -.59584    3.00
       11 37    -.68203    2.00
       11 45    -.51406    3.00
       11 53    -.80104    1.00
       11 61    -.35330    4.00
       11 69    -.81448    1.00
       11 77    -.71164    2.00
       11 85    -.68348    2.00
       11 93    -.42580    4.00
       11101    -.69266    2.00
       11109    -.58840    3.00
       11117    -.77415    1.00
       11125    -.77415    1.00
       11133    -.64346    3.00
       11141    -.75373    1.00
       11149    -.63816    3.00
       11157    -.62273    3.00
       11165    -.71766    2.00
       11173    -.70533    2.00
       11181    -.54406    3.00
       11189    -.86825    1.00
       11197    -.71766    2.00
       11205    -.12490    5.00
       11213    -.70421    2.00
       12  3    -.65865    2.00
       12  9    -.77143    1.00
       12 15    -.68980    2.00
       12 21    -.70548    2.00
       12 23    -.19447    4.00
       12 27    -.51569    3.00
       12 33    -.74029    2.00
       12 39    -.59453    3.00
       12 45    -.56302    3.00
       12 51    -.37402    4.00
       12 57    -.52994    3.00
       12 69     .06572    5.00
       12 75    -.34698    4.00
       12 87    -.60238    3.00
       12 93    -.77771    1.00
       12 99    -.43971    4.00
       12111     .49860    5.00
       12117    -.00255    5.00
       12129    -.24625    4.00
       12135    -.54839    3.00
       12141    -.73738    2.00
       12147    -.48004    4.00
       12153    -.43736    4.00
       12159    -.74454    2.00
       12188    -.38808    4.00
       13  1    -.36811    4.00
       13  8    -.73654    2.00
       13 15    -.73934    2.00
       13 22    -.59584    3.00
       13 29    -.71766    2.00
       13 36    -.60857    3.00
       13 43    -.31880    4.00
       13 50    -.65834    2.00
       13 57    -.65933    2.00
       13 64    -.79304    1.00
       13 71    -.50077    3.00
       13 78    -.45860    4.00
       13 85    -.86351    1.00
       13 92    -.41487    4.00
       13 99    -.54023    3.00
       13106    -.53229    3.00
       13113    -.68426    2.00
       13120    -.55648    3.00
       13127    -.28140    4.00
       13134    -.60185    3.00
       13141    -.50077    3.00
       13148    -.65933    2.00
       13155    -.66255    2.00
       13162    -.61524    3.00
       13169    -.80346    1.00
       13176    -.56410    3.00
       13183    -.68732    2.00
       14  9    -.34643    4.00
       14 18    -.70873    2.00
       14 27    -.45316    4.00
       14 36    -.72394    2.00
       14 45    -.60765    3.00
       14 54    -.52959    3.00
       14 63    -.89495    1.00
       14 72    -.72394    2.00
       14 81    -.54991    3.00
       14 90    -.54886    3.00
       14 99    -.58919    3.00
       14108    -.13766    5.00
       14117    -.81157    1.00
       14126    -.47112    4.00
       14135    -.71874    2.00
       14144    -.32176    4.00
       14153    -.78691    1.00
       14162    -.01576    5.00
       14171    -.69529    2.00
       14180    -.71469    2.00
       14189    -.58199    3.00
       14198    -.52019    3.00
       14207    -.27047    4.00
       14216    -.71796    2.00
       14225    -.18283    4.00
       14234    -.40021    4.00
       14243    -.63695    3.00
       14267    -.43647    4.00
       15  6    -.39492    4.00
       15 13    -.41110    4.00
       15 20    -.62871    3.00
       15 27    -.57858    3.00
       15 34    -.28639    4.00
       15 41    -.89966    1.00
       15 48    -.71874    2.00
       15 55    -.77143    1.00
       15 62    -.38250    4.00
       15 76    -.37111    4.00
       15 83    -.26054    4.00
       15 90    -.55079    3.00
       15 97    -.27994    4.00
       15104    -.68475    2.00
       15111    -.52019    3.00
       15118    -.43777    4.00
       15125    -.27223    4.00
       15132    -.36157    4.00
       15139    -.18283    4.00
       15146    -.43195    4.00
       15153    -.62400    3.00
       15160    -.31948    4.00
       15167    -.69360    2.00
       15174    -.63998    3.00
       15181    -.02428    5.00
       15188    -.68946    2.00
       15193    -.34094    4.00
       16  3    -.60114    3.00
       16  9    -.52135    3.00
       16 15    -.31602    4.00
       16 21    -.51335    3.00
       16 27    -.48482    4.00
       16 33    -.50644    3.00
       16 39    -.58064    3.00
       16 45    -.41121    4.00
       16 51    -.49300    4.00
       16 57    -.50528    3.00
       16 63    -.47969    4.00
       16 69    -.37088    4.00
       16 75    -.63713    3.00
       16 81    -.46018    4.00
